Against	Beneficiary	TotalCount	TotalYards
Indianapolis	Washington	3	15
Washington	Indianapolis	7	53
Jacksonville	Tennessee	7	55
Tennessee	Jacksonville	8	57
Cincinnati	Atlanta	7	36
Atlanta	Cincinnati	3	41
Pittsburgh	Miami	5	34
Miami	Pittsburgh	3	24
Baltimore	Buffalo	4	18
Buffalo	Baltimore	6	78
Jacksonville	Kansas City	6	43
Kansas City	Jacksonville	7	92
Cleveland	New Orleans	4	30
New Orleans	Cleveland	6	93
Washington	Chicago	7	48
Chicago	Washington	6	51
San Francisco	Carolina	11	81
Carolina	San Francisco	4	35
St. Louis	Tampa Bay	6	45
Tampa Bay	St. Louis	12	92
Philadelphia	Tennessee	10	100
Tennessee	Philadelphia	6	37
Seattle	Arizona	10	95
Arizona	Seattle	5	32
New England	San Diego	7	51
San Diego	New England	6	69
Oakland	Denver	10	94
Denver	Oakland	5	64
Green Bay	Minnesota	2	20
Minnesota	Green Bay	6	40
N.Y. Giants	Dallas	6	46
Dallas	N.Y. Giants	5	42
Denver	San Francisco	8	60
San Francisco	Denver	6	67
Jacksonville	Dallas	6	36
Dallas	Jacksonville	3	20
Cincinnati	Miami	4	36
Miami	Cincinnati	4	42
Kansas City	Buffalo	5	50
Buffalo	Kansas City	5	35
Washington	Detroit	10	77
Detroit	Washington	7	65
Carolina	St. Louis	6	30
St. Louis	Carolina	7	65
N.Y. Jets	Green Bay	7	55
Green Bay	N.Y. Jets	3	15
Tennessee	San Diego	10	80
San Diego	Tennessee	8	62
New England	Minnesota	6	47
Minnesota	New England	5	35
Tampa Bay	Arizona	9	80
Arizona	Tampa Bay	3	12
Oakland	Seattle	11	105
Seattle	Oakland	7	55
New Orleans	Pittsburgh	3	35
Pittsburgh	New Orleans	4	38
Houston	Indianapolis	5	30
Indianapolis	Houston	9	69
Detroit	N.Y. Jets	11	102
N.Y. Jets	Detroit	11	99
Miami	Baltimore	4	23
Baltimore	Miami	5	40
Cleveland	New England	4	28
New England	Cleveland	3	20
San Diego	Houston	6	62
Houston	San Diego	4	31
Buffalo	Chicago	4	33
Chicago	Buffalo	7	45
Arizona	Minnesota	7	39
Minnesota	Arizona	11	65
Atlanta	Tampa Bay	4	53
Tampa Bay	Atlanta	5	30
Carolina	New Orleans	10	65
New Orleans	Carolina	7	64
Seattle	N.Y. Giants	9	70
N.Y. Giants	Seattle	5	40
Philadelphia	Indianapolis	14	125
Indianapolis	Philadelphia	7	59
Oakland	Kansas City	15	140
Kansas City	Oakland	12	100
Dallas	Green Bay	5	40
Green Bay	Dallas	2	20
Cincinnati	Pittsburgh	3	30
Pittsburgh	Cincinnati	7	73
Baltimore	Atlanta	6	51
Atlanta	Baltimore	1	5
Miami	Tennessee	4	63
Tennessee	Miami	5	55
N.Y. Jets	Cleveland	9	70
Cleveland	N.Y. Jets	4	52
Indianapolis	Cincinnati	5	45
Cincinnati	Indianapolis	4	38
Houston	Jacksonville	8	49
Jacksonville	Houston	8	62
Chicago	Minnesota	11	116
Minnesota	Chicago	2	19
Carolina	Tampa Bay	7	71
Tampa Bay	Carolina	10	80
Detroit	Buffalo	11	60
Buffalo	Detroit	4	30
Kansas City	Denver	6	40
Denver	Kansas City	3	28
N.Y. Giants	Dallas	8	69
Dallas	N.Y. Giants	5	60
Seattle	Arizona	6	51
Arizona	Seattle	10	50
San Francisco	St. Louis	14	105
St. Louis	San Francisco	12	135
Pittsburgh	New England	6	45
New England	Pittsburgh	10	113
Washington	Philadelphia	6	41
Philadelphia	Washington	6	35
Miami	Chicago	5	45
Chicago	Miami	5	45
Baltimore	Carolina	3	20
Carolina	Baltimore	7	54
Houston	N.Y. Jets	3	25
N.Y. Jets	Houston	4	39
Cincinnati	Buffalo	7	57
Buffalo	Cincinnati	10	58
Pittsburgh	Oakland	14	163
Oakland	Pittsburgh	7	55
Cleveland	Jacksonville	5	45
Jacksonville	Cleveland	2	10
Detroit	Dallas	10	76
Dallas	Detroit	6	39
Minnesota	Green Bay	6	50
Green Bay	Minnesota	1	5
New Orleans	Seattle	3	24
Seattle	New Orleans	8	79
Washington	Tennessee	3	20
Tennessee	Washington	11	81
Arizona	Kansas City	11	96
Kansas City	Arizona	5	23
Atlanta	St. Louis	3	30
St. Louis	Atlanta	7	54
Tampa Bay	San Francisco	3	35
San Francisco	Tampa Bay	3	18
Indianapolis	New England	6	48
New England	Indianapolis	1	15
Philadelphia	N.Y. Giants	10	119
N.Y. Giants	Philadelphia	6	54
San Diego	Denver	5	40
Denver	San Diego	8	56
New England	Detroit	5	50
Detroit	New England	8	66
New Orleans	Dallas	4	30
Dallas	New Orleans	4	19
N.Y. Jets	Cincinnati	8	64
Cincinnati	N.Y. Jets	2	25
