Against	Beneficiary	TotalCount	TotalYards
Indianapolis	Pittsburgh	7	89
Detroit	Oakland	5	35
Oakland	Detroit	10	96
Seattle	Tampa Bay	4	45
Tampa Bay	Seattle	11	82
Cleveland	Denver	5	40
Denver	Cleveland	7	55
LA Chargers	Green Bay	5	45
Green Bay	LA Chargers	8	45
New England	Baltimore	7	48
Baltimore	New England	4	34
N.Y. Giants	Dallas	8	71
Dallas	N.Y. Giants	10	104
Oakland	LA Chargers	12	97
LA Chargers	Oakland	8	70
Chicago	Detroit	7	57
Detroit	Chicago	8	76
Cincinnati	Baltimore	1	5
Baltimore	Cincinnati	5	35
Cleveland	Buffalo	4	70
Buffalo	Cleveland	7	40
Green Bay	Carolina	10	64
Carolina	Green Bay	5	46
New Orleans	Atlanta	12	90
Atlanta	New Orleans	7	48
N.Y. Giants	N.Y. Jets	6	62
N.Y. Jets	N.Y. Giants	7	54
Tampa Bay	Arizona	9	94
Arizona	Tampa Bay	11	87
Kansas City	Tennessee	9	80
Tennessee	Kansas City	8	64
Indianapolis	Miami	3	25
Miami	Indianapolis	4	30
LA Rams	Pittsburgh	10	95
Pittsburgh	LA Rams	13	102
Minnesota	Dallas	5	35
Dallas	Minnesota	5	39
Seattle	San Francisco	9	75
San Francisco	Seattle	5	40
Pittsburgh	Cleveland	6	41
Cleveland	Pittsburgh	8	121
Houston	Baltimore	5	60
Baltimore	Houston	8	65
Atlanta	Carolina	3	20
Carolina	Atlanta	8	68
Dallas	Detroit	6	45
Detroit	Dallas	11	89
Jacksonville	Indianapolis	8	81
Indianapolis	Jacksonville	3	20
Miami	Buffalo	6	44
Buffalo	Miami	5	50
Denver	Minnesota	6	35
Minnesota	Denver	5	49
Tampa Bay	New Orleans	7	55
New Orleans	Tampa Bay	9	76
Washington	N.Y. Jets	11	66
N.Y. Jets	Washington	6	55
San Francisco	Arizona	10	127
Arizona	San Francisco	10	104
Oakland	Cincinnati	7	42
Cincinnati	Oakland	4	40
New England	Philadelphia	6	89
Philadelphia	New England	7	39
LA Rams	Chicago	6	34
Chicago	LA Rams	2	25
Kansas City	LA Chargers	8	102
LA Chargers	Kansas City	9	60
Houston	Indianapolis	4	27
Indianapolis	Houston	3	29
Atlanta	Tampa Bay	7	60
Tampa Bay	Atlanta	8	51
Denver	Buffalo	7	70
Buffalo	Denver	12	90
N.Y. Giants	Chicago	6	35
Chicago	N.Y. Giants	6	53
Cincinnati	Pittsburgh	7	79
Pittsburgh	Cincinnati	10	76
Miami	Cleveland	8	94
Cleveland	Miami	7	70
Carolina	New Orleans	3	25
New Orleans	Carolina	12	123
N.Y. Jets	Oakland	4	37
Oakland	N.Y. Jets	4	35
Washington	Detroit	8	63
Detroit	Washington	6	65
Jacksonville	Tennessee	11	104
Tennessee	Jacksonville	6	54
New England	Dallas	6	56
Dallas	New England	7	50
Green Bay	San Francisco	5	50
San Francisco	Green Bay	9	78
Seattle	Philadelphia	12	90
Philadelphia	Seattle	2	15
Baltimore	LA Rams	8	66
LA Rams	Baltimore	8	56
Chicago	Detroit	10	89
Detroit	Chicago	9	85
Buffalo	Dallas	7	53
Dallas	Buffalo	5	66
New Orleans	Atlanta	9	121
Atlanta	New Orleans	4	18
San Francisco	Baltimore	6	54
Baltimore	San Francisco	3	23
Washington	Carolina	6	65
Carolina	Washington	5	43
N.Y. Jets	Cincinnati	10	106
Cincinnati	N.Y. Jets	2	15
Indianapolis	Tennessee	6	40
Tennessee	Indianapolis	3	33
Jacksonville	Tampa Bay	16	125
Tampa Bay	Jacksonville	8	44
Oakland	Kansas City	12	99
Kansas City	Oakland	0	0
Miami	Philadelphia	7	59
Philadelphia	Miami	10	91
Green Bay	N.Y. Giants	7	54
N.Y. Giants	Green Bay	4	31
LA Rams	Arizona	8	81
Arizona	LA Rams	2	7
LA Chargers	Denver	7	82
Denver	LA Chargers	3	25
Cleveland	Pittsburgh	5	34
Pittsburgh	Cleveland	10	65
Houston	New England	8	79
New England	Houston	8	60
Minnesota	Seattle	3	30
Seattle	Minnesota	1	30
Dallas	Chicago	6	52
Chicago	Dallas	4	30
Carolina	Atlanta	7	44
Atlanta	Carolina	6	58
Buffalo	Baltimore	5	49
Baltimore	Buffalo	9	99
Cincinnati	Cleveland	8	99
Cleveland	Cincinnati	6	30
Green Bay	Washington	5	34
Washington	Green Bay	3	25
Houston	Denver	9	44
Denver	Houston	7	50
Minnesota	Detroit	8	55
Detroit	Minnesota	4	28
San Francisco	New Orleans	10	67
New Orleans	San Francisco	5	50
Miami	N.Y. Jets	5	48
N.Y. Jets	Miami	5	88
Tampa Bay	Indianapolis	6	104
Indianapolis	Tampa Bay	3	35
Jacksonville	LA Chargers	10	101
LA Chargers	Jacksonville	6	65
Arizona	Pittsburgh	7	75
Pittsburgh	Arizona	4	20
Kansas City	New England	10	136
New England	Kansas City	5	25
Oakland	Tennessee	3	20
Tennessee	Oakland	4	21
Seattle	LA Rams	8	64
LA Rams	Seattle	3	20
Philadelphia	N.Y. Giants	4	30
N.Y. Giants	Philadelphia	7	54
N.Y. Jets	Baltimore	8	94
Baltimore	N.Y. Jets	6	35
Seattle	Carolina	5	40
Carolina	Seattle	2	15
Cincinnati	New England	5	25
New England	Cincinnati	4	30
Tampa Bay	Detroit	9	70
Detroit	Tampa Bay	2	10
Chicago	Green Bay	4	35
Green Bay	Chicago	4	30
Denver	Kansas City	7	72
Kansas City	Denver	5	45
Miami	N.Y. Giants	7	42
N.Y. Giants	Miami	4	32
Buffalo	Pittsburgh	8	70
Pittsburgh	Buffalo	6	30
Houston	Tennessee	5	27
Tennessee	Houston	4	30
Washington	Philadelphia	5	60
Philadelphia	Washington	7	54
Arizona	Cleveland	5	34
Cleveland	Arizona	6	55
Oakland	Jacksonville	6	51
Jacksonville	Oakland	8	87
Dallas	LA Rams	4	16
LA Rams	Dallas	5	29
San Francisco	Atlanta	7	67
Atlanta	San Francisco	11	98
LA Chargers	Minnesota	5	48
Minnesota	LA Chargers	5	41
Indianapolis	New Orleans	7	49
New Orleans	Indianapolis	6	52
Tampa Bay	Houston	6	45
Houston	Tampa Bay	4	35
Buffalo	New England	7	46
New England	Buffalo	3	30
LA Rams	San Francisco	7	43
San Francisco	LA Rams	3	26
Detroit	Denver	7	68
Denver	Detroit	6	50
LA Chargers	Oakland	2	15
Oakland	LA Chargers	5	47
Jacksonville	Atlanta	6	36
Atlanta	Jacksonville	9	64
Cleveland	Baltimore	7	62
Baltimore	Cleveland	7	50
Carolina	Indianapolis	6	46
Indianapolis	Carolina	0	0
Miami	Cincinnati	6	47
Cincinnati	Miami	10	77
Pittsburgh	N.Y. Jets	4	34
N.Y. Jets	Pittsburgh	3	30
New Orleans	Tennessee	11	70
Tennessee	New Orleans	6	56
Washington	N.Y. Giants	6	51
N.Y. Giants	Washington	4	33
Philadelphia	Dallas	4	30
Dallas	Philadelphia	2	20
Arizona	Seattle	5	47
Seattle	Arizona	7	55
Kansas City	Chicago	9	71
Chicago	Kansas City	7	50
Minnesota	Green Bay	3	30
Green Bay	Minnesota	2	20
Pittsburgh	Baltimore	6	47
Baltimore	Pittsburgh	6	35
N.Y. Jets	Buffalo	2	13
Buffalo	N.Y. Jets	5	40
Carolina	New Orleans	5	54
New Orleans	Carolina	3	44
Cleveland	Cincinnati	4	33
Cincinnati	Cleveland	3	20
Dallas	Washington	10	81
Washington	Dallas	2	10
Green Bay	Detroit	9	97
Detroit	Green Bay	4	50
Houston	Tennessee	5	35
Tennessee	Houston	5	37
Indianapolis	Jacksonville	4	36
Jacksonville	Indianapolis	3	27
LA Chargers	Kansas City	8	40
Kansas City	LA Chargers	5	39
Minnesota	Chicago	3	40
Chicago	Minnesota	3	34
New England	Miami	6	54
Miami	New England	4	35
Philadelphia	N.Y. Giants	7	55
N.Y. Giants	Philadelphia	4	48
Tampa Bay	Atlanta	12	97
Atlanta	Tampa Bay	5	53
Denver	Oakland	9	61
Oakland	Denver	10	107
Arizona	LA Rams	8	63
LA Rams	Arizona	10	91
San Francisco	Seattle	8	57
Seattle	San Francisco	5	29
Houston	Buffalo	4	20
Buffalo	Houston	7	64
Tennessee	New England	5	25
New England	Tennessee	3	28
New Orleans	Minnesota	6	52
Minnesota	New Orleans	4	26
Philadelphia	Seattle	7	45
Seattle	Philadelphia	11	114
San Francisco	Minnesota	5	38
Minnesota	San Francisco	1	15
Tennessee	Baltimore	5	20
Baltimore	Tennessee	7	56
Kansas City	Houston	4	37
Houston	Kansas City	7	87
Green Bay	Seattle	4	30
Seattle	Green Bay	6	47
Kansas City	Tennessee	9	61
Tennessee	Kansas City	8	85
Green Bay	San Francisco	6	46
San Francisco	Green Bay	2	10
Kansas City	San Francisco	4	24
San Francisco	Kansas City	5	45
Houston	Kansas City	5	37
Kansas City	Houston	1	5
Atlanta	Seattle	6	72
Seattle	Atlanta	6	46
Baltimore	Cleveland	7	66
Cleveland	Baltimore	8	80
N.Y. Jets	Buffalo	9	95
Buffalo	N.Y. Jets	7	80
Las Vegas	Carolina	3	40
Carolina	Las Vegas	5	65
Chicago	Detroit	6	48
Detroit	Chicago	8	77
Jacksonville	Indianapolis	6	61
Indianapolis	Jacksonville	5	80
Minnesota	Green Bay	5	20
Green Bay	Minnesota	6	63
New England	Miami	3	47
Miami	New England	4	35
Washington	Philadelphia	7	55
Philadelphia	Washington	3	20
LA Chargers	Cincinnati	6	35
Cincinnati	LA Chargers	7	44
New Orleans	Tampa Bay	6	119
Tampa Bay	New Orleans	9	103
Arizona	San Francisco	9	102
San Francisco	Arizona	5	53
Dallas	LA Rams	7	50
LA Rams	Dallas	5	34
N.Y. Giants	Pittsburgh	4	25
Pittsburgh	N.Y. Giants	3	21
Tennessee	Denver	5	37
Denver	Tennessee	5	56
Cleveland	Cincinnati	8	76
Cincinnati	Cleveland	4	45
N.Y. Giants	Chicago	3	20
Chicago	N.Y. Giants	5	48
Atlanta	Dallas	8	51
Dallas	Atlanta	7	75
Green Bay	Detroit	8	60
Detroit	Green Bay	7	70
Indianapolis	Minnesota	9	93
Minnesota	Indianapolis	6	45
Miami	Buffalo	3	20
Buffalo	Miami	6	55
N.Y. Jets	San Francisco	5	65
San Francisco	N.Y. Jets	5	59
LA Rams	Philadelphia	4	24
Philadelphia	LA Rams	5	30
Pittsburgh	Denver	10	89
Denver	Pittsburgh	4	30
Tampa Bay	Carolina	5	37
Carolina	Tampa Bay	9	77
Tennessee	Jacksonville	4	30
Jacksonville	Tennessee	8	60
Washington	Arizona	6	42
Arizona	Washington	11	97
Houston	Baltimore	4	22
Baltimore	Houston	3	21
Kansas City	LA Chargers	11	90
LA Chargers	Kansas City	6	40
Seattle	New England	9	68
New England	Seattle	2	12
Las Vegas	New Orleans	3	13
New Orleans	Las Vegas	10	129
Jacksonville	Miami	8	63
Miami	Jacksonville	6	51
Chicago	Atlanta	10	80
Atlanta	Chicago	7	75
LA Rams	Buffalo	3	30
Buffalo	LA Rams	5	55
Cleveland	Washington	6	50
Washington	Cleveland	4	40
Tennessee	Minnesota	4	45
Minnesota	Tennessee	3	20
Las Vegas	New England	6	40
New England	Las Vegas	2	33
San Francisco	N.Y. Giants	6	45
N.Y. Giants	San Francisco	5	28
Cincinnati	Philadelphia	9	73
Philadelphia	Cincinnati	11	93
Houston	Pittsburgh	4	49
Pittsburgh	Houston	2	14
Indianapolis	N.Y. Jets	4	40
N.Y. Jets	Indianapolis	7	57
LA Chargers	Carolina	8	60
Carolina	LA Chargers	3	30
Detroit	Arizona	7	46
Arizona	Detroit	7	48
Denver	Tampa Bay	4	30
Tampa Bay	Denver	9	71
Seattle	Dallas	5	30
Dallas	Seattle	10	59
New Orleans	Green Bay	8	83
Green Bay	New Orleans	2	10
Baltimore	Kansas City	6	45
Kansas City	Baltimore	6	38
Denver	N.Y. Jets	8	94
N.Y. Jets	Denver	11	118
Carolina	Arizona	10	72
Arizona	Carolina	5	29
Indianapolis	Chicago	8	76
Chicago	Indianapolis	8	103
Cincinnati	Jacksonville	7	73
Jacksonville	Cincinnati	6	49
Cleveland	Dallas	5	40
Dallas	Cleveland	6	65
New Orleans	Detroit	4	67
Detroit	New Orleans	5	49
Houston	Minnesota	2	15
Minnesota	Houston	4	36
Miami	Seattle	3	20
Seattle	Miami	0	0
Tampa Bay	LA Chargers	8	90
LA Chargers	Tampa Bay	7	60
Baltimore	Washington	5	30
Washington	Baltimore	2	20
N.Y. Giants	LA Rams	4	20
LA Rams	N.Y. Giants	1	5
Kansas City	New England	4	38
New England	Kansas City	4	43
Las Vegas	Buffalo	7	66
Buffalo	Las Vegas	5	81
San Francisco	Philadelphia	6	42
Philadelphia	San Francisco	3	25
Atlanta	Green Bay	3	23
Green Bay	Atlanta	3	30
Tampa Bay	Chicago	11	109
Chicago	Tampa Bay	6	66
Carolina	Atlanta	4	25
Atlanta	Carolina	3	40
Baltimore	Cincinnati	4	25
Cincinnati	Baltimore	5	40
Houston	Jacksonville	5	25
Jacksonville	Houston	4	35
Kansas City	Las Vegas	10	94
Las Vegas	Kansas City	8	59
Arizona	N.Y. Jets	10	59
N.Y. Jets	Arizona	6	30
Pittsburgh	Philadelphia	8	86
Philadelphia	Pittsburgh	9	84
Tennessee	Buffalo	6	46
Buffalo	Tennessee	10	56
LA Rams	Washington	5	60
Washington	LA Rams	3	40
Miami	San Francisco	7	69
San Francisco	Miami	7	75
Cleveland	Indianapolis	2	10
Indianapolis	Cleveland	5	30
N.Y. Giants	Dallas	8	81
Dallas	N.Y. Giants	3	25
Seattle	Minnesota	3	25
Minnesota	Seattle	6	55
LA Chargers	New Orleans	1	10
New Orleans	LA Chargers	5	60
New England	Denver	1	4
Denver	New England	2	20
Kansas City	Buffalo	8	68
Buffalo	Kansas City	4	39
Carolina	Chicago	8	69
Chicago	Carolina	10	92
Cincinnati	Indianapolis	6	20
Indianapolis	Cincinnati	6	55
Jacksonville	Detroit	5	56
Detroit	Jacksonville	7	60
Atlanta	Minnesota	5	25
Minnesota	Atlanta	3	30
Washington	N.Y. Giants	8	50
N.Y. Giants	Washington	4	30
Philadelphia	Baltimore	3	20
Baltimore	Philadelphia	12	132
Cleveland	Pittsburgh	7	55
Pittsburgh	Cleveland	6	45
Tennessee	Houston	7	73
Houston	Tennessee	4	46
Green Bay	Tampa Bay	6	76
Tampa Bay	Green Bay	0	0
San Francisco	LA Rams	7	63
LA Rams	San Francisco	6	34
Arizona	Dallas	7	43
Dallas	Arizona	6	36
N.Y. Jets	Miami	7	80
Miami	N.Y. Jets	5	25
Pittsburgh	Tennessee	8	69
Tennessee	Pittsburgh	7	73
Philadelphia	N.Y. Giants	7	75
N.Y. Giants	Philadelphia	9	62
Atlanta	Detroit	8	53
Detroit	Atlanta	5	50
Cleveland	Cincinnati	5	40
Cincinnati	Cleveland	7	45
Houston	Green Bay	6	55
Green Bay	Houston	5	40
New Orleans	Carolina	6	50
Carolina	New Orleans	1	5
Buffalo	N.Y. Jets	11	106
N.Y. Jets	Buffalo	6	49
Dallas	Washington	6	49
Washington	Dallas	4	30
Arizona	Seattle	6	40
Seattle	Arizona	8	78
Denver	Kansas City	5	34
Kansas City	Denver	1	15
San Francisco	New England	6	65
New England	San Francisco	3	30
Las Vegas	Tampa Bay	4	35
Tampa Bay	Las Vegas	4	20
Chicago	LA Rams	6	46
LA Rams	Chicago	4	46
Jacksonville	LA Chargers	6	55
LA Chargers	Jacksonville	3	35
Pittsburgh	Baltimore	3	30
Baltimore	Pittsburgh	9	110
Atlanta	Carolina	6	63
Carolina	Atlanta	6	30
New England	Buffalo	5	35
Buffalo	New England	5	30
Cincinnati	Tennessee	7	45
Tennessee	Cincinnati	7	68
Cleveland	Las Vegas	7	59
Las Vegas	Cleveland	5	25
Detroit	Indianapolis	4	76
Indianapolis	Detroit	3	19
Minnesota	Green Bay	7	36
Green Bay	Minnesota	9	85
Kansas City	N.Y. Jets	7	61
N.Y. Jets	Kansas City	3	25
Miami	LA Rams	3	30
LA Rams	Miami	5	45
New Orleans	Chicago	5	45
Chicago	New Orleans	7	53
Seattle	San Francisco	6	30
San Francisco	Seattle	6	36
Dallas	Philadelphia	7	68
Philadelphia	Dallas	4	28
N.Y. Giants	Tampa Bay	7	73
Tampa Bay	N.Y. Giants	3	20
Denver	LA Chargers	8	70
LA Chargers	Denver	6	67
Green Bay	San Francisco	5	45
San Francisco	Green Bay	4	33
Atlanta	Denver	5	61
Denver	Atlanta	5	65
Buffalo	Seattle	6	70
Seattle	Buffalo	4	13
Baltimore	Indianapolis	5	55
Indianapolis	Baltimore	4	30
Jacksonville	Houston	4	78
Houston	Jacksonville	3	18
Kansas City	Carolina	8	75
Carolina	Kansas City	12	82
Detroit	Minnesota	3	37
Minnesota	Detroit	9	69
Tennessee	Chicago	6	57
Chicago	Tennessee	5	35
N.Y. Giants	Washington	4	40
Washington	N.Y. Giants	6	45
Las Vegas	LA Chargers	2	10
LA Chargers	Las Vegas	5	45
Miami	Arizona	7	75
Arizona	Miami	7	71
Dallas	Pittsburgh	7	70
Pittsburgh	Dallas	3	16
Tampa Bay	New Orleans	5	39
New Orleans	Tampa Bay	3	28
N.Y. Jets	New England	4	32
New England	N.Y. Jets	6	81
LA Chargers	Miami	5	31
Miami	LA Chargers	3	15
Tennessee	Indianapolis	3	30
Indianapolis	Tennessee	9	73
Carolina	Tampa Bay	5	40
Tampa Bay	Carolina	3	30
Houston	Cleveland	6	49
Cleveland	Houston	6	63
Washington	Detroit	6	58
Detroit	Washington	9	55
Green Bay	Jacksonville	4	35
Jacksonville	Green Bay	7	86
Philadelphia	N.Y. Giants	11	74
N.Y. Giants	Philadelphia	7	64
Cincinnati	Pittsburgh	6	65
Pittsburgh	Cincinnati	6	45
Arizona	Buffalo	7	40
Buffalo	Arizona	9	69
Denver	Las Vegas	7	37
Las Vegas	Denver	8	82
LA Rams	Seattle	4	49
Seattle	LA Rams	4	23
New Orleans	San Francisco	5	61
San Francisco	New Orleans	6	51
Baltimore	New England	8	64
New England	Baltimore	3	18
Chicago	Minnesota	1	5
Minnesota	Chicago	4	35
Denver	Miami	8	70
Miami	Denver	5	50
N.Y. Jets	LA Chargers	8	88
LA Chargers	N.Y. Jets	9	78
Arizona	Seattle	10	115
Seattle	Arizona	8	79
Baltimore	Tennessee	6	81
Tennessee	Baltimore	4	44
Carolina	Detroit	7	45
Detroit	Carolina	4	20
Philadelphia	Cleveland	5	33
Cleveland	Philadelphia	3	53
Houston	New England	5	35
New England	Houston	7	55
Indianapolis	Green Bay	8	116
Green Bay	Indianapolis	7	45
Jacksonville	Pittsburgh	8	105
Pittsburgh	Jacksonville	6	42
New Orleans	Atlanta	5	35
Atlanta	New Orleans	7	53
Washington	Cincinnati	6	49
Cincinnati	Washington	3	31
Dallas	Minnesota	4	30
Minnesota	Dallas	8	80
Kansas City	Las Vegas	10	89
Las Vegas	Kansas City	8	72
Tampa Bay	LA Rams	2	7
LA Rams	Tampa Bay	5	65
Houston	Detroit	10	74
Detroit	Houston	4	44
Dallas	Washington	5	45
Washington	Dallas	5	53
Baltimore	Pittsburgh	7	86
Pittsburgh	Baltimore	5	40
Atlanta	Las Vegas	6	49
Las Vegas	Atlanta	11	141
Buffalo	LA Chargers	9	85
LA Chargers	Buffalo	5	91
N.Y. Giants	Cincinnati	5	51
Cincinnati	N.Y. Giants	3	27
Tennessee	Indianapolis	9	63
Indianapolis	Tennessee	6	50
Jacksonville	Cleveland	5	24
Cleveland	Jacksonville	6	47
Carolina	Minnesota	7	58
Minnesota	Carolina	8	52
Arizona	New England	6	50
New England	Arizona	6	42
N.Y. Jets	Miami	6	74
Miami	N.Y. Jets	3	20
New Orleans	Denver	5	35
Denver	New Orleans	2	10
San Francisco	LA Rams	5	40
LA Rams	San Francisco	3	27
Tampa Bay	Kansas City	8	57
Kansas City	Tampa Bay	10	82
Chicago	Green Bay	5	45
Green Bay	Chicago	3	17
Seattle	Philadelphia	8	83
Philadelphia	Seattle	9	79
Dallas	Baltimore	7	58
Baltimore	Dallas	4	23
New Orleans	Atlanta	10	79
Atlanta	New Orleans	1	15
Detroit	Chicago	7	45
Chicago	Detroit	3	20
Indianapolis	Houston	7	50
Houston	Indianapolis	3	30
Cincinnati	Miami	6	62
Miami	Cincinnati	8	54
Jacksonville	Minnesota	10	83
Minnesota	Jacksonville	6	41
N.Y. Jets	Las Vegas	6	40
Las Vegas	N.Y. Jets	3	21
Pittsburgh	Washington	6	45
Washington	Pittsburgh	9	62
Cleveland	Tennessee	13	92
Tennessee	Cleveland	5	52
LA Rams	Arizona	6	75
Arizona	LA Rams	5	21
Seattle	N.Y. Giants	6	41
N.Y. Giants	Seattle	6	35
Green Bay	Philadelphia	5	30
Philadelphia	Green Bay	4	40
LA Chargers	New England	5	30
New England	LA Chargers	3	15
Denver	Kansas City	4	31
Kansas City	Denver	5	44
San Francisco	Buffalo	7	43
Buffalo	San Francisco	4	50
New England	LA Rams	5	27
LA Rams	New England	5	35
Denver	Carolina	2	18
Carolina	Denver	7	48
Houston	Chicago	6	50
Chicago	Houston	7	44
Dallas	Cincinnati	5	30
Cincinnati	Dallas	3	25
Green Bay	Detroit	12	68
Detroit	Green Bay	4	30
Jacksonville	Tennessee	10	80
Tennessee	Jacksonville	7	78
Kansas City	Miami	8	56
Miami	Kansas City	3	35
Arizona	N.Y. Giants	4	22
N.Y. Giants	Arizona	2	10
Tampa Bay	Minnesota	5	34
Minnesota	Tampa Bay	5	71
Las Vegas	Indianapolis	6	33
Indianapolis	Las Vegas	6	50
Seattle	N.Y. Jets	4	35
N.Y. Jets	Seattle	7	50
LA Chargers	Atlanta	6	40
Atlanta	LA Chargers	4	35
Philadelphia	New Orleans	6	27
New Orleans	Philadelphia	8	52
San Francisco	Washington	5	35
Washington	San Francisco	5	30
Buffalo	Pittsburgh	7	48
Pittsburgh	Buffalo	3	55
Cleveland	Baltimore	8	75
Baltimore	Cleveland	8	69
LA Chargers	Las Vegas	3	20
Las Vegas	LA Chargers	6	69
Denver	Buffalo	7	33
Buffalo	Denver	8	75
Green Bay	Carolina	5	50
Carolina	Green Bay	7	66
Houston	Indianapolis	5	24
Indianapolis	Houston	4	35
LA Rams	N.Y. Jets	5	43
N.Y. Jets	LA Rams	6	61
Detroit	Tennessee	3	33
Tennessee	Detroit	3	22
Atlanta	Tampa Bay	3	28
Tampa Bay	Atlanta	1	10
Jacksonville	Baltimore	7	67
Baltimore	Jacksonville	4	40
Miami	New England	7	40
New England	Miami	2	20
Minnesota	Chicago	1	5
Chicago	Minnesota	4	36
Cleveland	N.Y. Giants	6	60
N.Y. Giants	Cleveland	2	25
Seattle	Washington	4	45
Washington	Seattle	6	41
Arizona	Philadelphia	9	83
Philadelphia	Arizona	9	69
New Orleans	Kansas City	10	93
Kansas City	New Orleans	5	54
San Francisco	Dallas	4	39
Dallas	San Francisco	5	58
Cincinnati	Pittsburgh	2	16
Pittsburgh	Cincinnati	4	30
Minnesota	New Orleans	3	20
New Orleans	Minnesota	4	38
San Francisco	Arizona	4	27
Arizona	San Francisco	4	20
Detroit	Tampa Bay	11	117
Tampa Bay	Detroit	8	65
Denver	LA Chargers	6	44
LA Chargers	Denver	6	45
Miami	Las Vegas	5	76
Las Vegas	Miami	4	40
Cleveland	N.Y. Jets	6	51
N.Y. Jets	Cleveland	7	58
N.Y. Giants	Baltimore	5	35
Baltimore	N.Y. Giants	10	65
Houston	Cincinnati	6	46
Cincinnati	Houston	5	35
Jacksonville	Chicago	10	115
Chicago	Jacksonville	4	40
Atlanta	Kansas City	7	45
Kansas City	Atlanta	6	41
Indianapolis	Pittsburgh	9	83
Pittsburgh	Indianapolis	6	49
Washington	Carolina	5	26
Carolina	Washington	3	35
LA Rams	Seattle	5	45
Seattle	LA Rams	5	31
Dallas	Philadelphia	5	73
Philadelphia	Dallas	12	115
Tennessee	Green Bay	3	15
New England	Buffalo	4	25
Buffalo	New England	3	27
Miami	Buffalo	2	20
Buffalo	Miami	3	16
New Orleans	Carolina	4	31
Carolina	New Orleans	1	5
Chicago	Green Bay	1	16
Green Bay	Chicago	4	30
Baltimore	Cincinnati	6	49
Cincinnati	Baltimore	3	29
Cleveland	Pittsburgh	4	19
Pittsburgh	Cleveland	2	15
Minnesota	Detroit	4	35
Detroit	Minnesota	7	51
LA Chargers	Kansas City	4	23
Kansas City	LA Chargers	5	69
New England	N.Y. Jets	6	47
N.Y. Jets	New England	3	30
N.Y. Giants	Dallas	6	45
Dallas	N.Y. Giants	6	58
Washington	Philadelphia	5	56
Philadelphia	Washington	6	41
Atlanta	Tampa Bay	4	48
Tampa Bay	Atlanta	3	23
Las Vegas	Denver	14	111
Denver	Las Vegas	4	28
Houston	Tennessee	6	44
Tennessee	Houston	6	50
Indianapolis	Jacksonville	1	15
Jacksonville	Indianapolis	3	54
LA Rams	Arizona	5	38
Arizona	LA Rams	6	38
San Francisco	Seattle	2	25
Seattle	San Francisco	4	35
Buffalo	Indianapolis	2	7
Indianapolis	Buffalo	2	10
LA Rams	Seattle	2	15
Seattle	LA Rams	9	60
Washington	Tampa Bay	2	25
Tampa Bay	Washington	3	24
Tennessee	Baltimore	2	10
Baltimore	Tennessee	5	60
Chicago	New Orleans	9	50
New Orleans	Chicago	4	20
Pittsburgh	Cleveland	4	25
Cleveland	Pittsburgh	3	20
LA Rams	Green Bay	3	35
Green Bay	LA Rams	3	22
Buffalo	Baltimore	2	11
Baltimore	Buffalo	8	59
Cleveland	Kansas City	3	25
Kansas City	Cleveland	7	55
Tampa Bay	New Orleans	7	62
New Orleans	Tampa Bay	5	34
Tampa Bay	Green Bay	2	8
Green Bay	Tampa Bay	4	30
Kansas City	Buffalo	3	32
Buffalo	Kansas City	4	38
Tampa Bay	Kansas City	4	39
Kansas City	Tampa Bay	11	120
Dallas	Tampa Bay	8	55
Tampa Bay	Dallas	11	106
Philadelphia	Atlanta	14	89
Atlanta	Philadelphia	12	99
Buffalo	Pittsburgh	8	81
Pittsburgh	Buffalo	5	32
N.Y. Jets	Carolina	5	30
Carolina	N.Y. Jets	6	38
Minnesota	Cincinnati	12	116
Cincinnati	Minnesota	3	15
San Francisco	Detroit	7	79
Detroit	San Francisco	5	45
Jacksonville	Houston	10	82
Houston	Jacksonville	5	50
Seattle	Indianapolis	7	53
Indianapolis	Seattle	2	16
Arizona	Tennessee	8	59
Tennessee	Arizona	7	57
Washington	LA Chargers	8	57
LA Chargers	Washington	6	94
Kansas City	Cleveland	5	36
Cleveland	Kansas City	5	30
New England	Miami	8	84
Miami	New England	5	28
New Orleans	Green Bay	6	36
Green Bay	New Orleans	5	33
Denver	N.Y. Giants	5	51
N.Y. Giants	Denver	4	48
Chicago	LA Rams	3	35
LA Rams	Chicago	4	36
Las Vegas	Baltimore	10	62
Baltimore	Las Vegas	5	71
N.Y. Giants	Washington	11	81
Washington	N.Y. Giants	9	80
Carolina	New Orleans	5	49
New Orleans	Carolina	11	115
Cincinnati	Chicago	4	57
Chicago	Cincinnati	8	70
Houston	Cleveland	9	78
Cleveland	Houston	5	62
Indianapolis	LA Rams	3	25
LA Rams	Indianapolis	2	15
Denver	Jacksonville	10	101
Jacksonville	Denver	7	70
Miami	Buffalo	9	83
Buffalo	Miami	6	53
N.Y. Jets	New England	8	77
New England	N.Y. Jets	6	54
San Francisco	Philadelphia	5	60
Philadelphia	San Francisco	8	57
Pittsburgh	Las Vegas	5	43
Las Vegas	Pittsburgh	5	40
Arizona	Minnesota	5	40
Minnesota	Arizona	3	16
Tampa Bay	Atlanta	9	83
Atlanta	Tampa Bay	6	49
LA Chargers	Dallas	12	99
Dallas	LA Chargers	8	76
Seattle	Tennessee	10	100
Tennessee	Seattle	5	45
Kansas City	Baltimore	5	46
Baltimore	Kansas City	8	55
Detroit	Green Bay	9	78
Green Bay	Detroit	5	50
